participant_id,item,iconicity,arrangement,decisionTime
S102,I02,house,Ordered,686.4123792330272
S103,I02,house,Ordered,274.34265821418535
S104,I02,house,Ordered,-533.638952609118
S105,I02,house,Ordered,1889.3013224555007
S106,I02,house,Ordered,735.0663569434242
S107,I02,house,Ordered,1811.9840599148388
S108,I02,house,Ordered,1415.7665784588817
S109,I02,house,Ordered,2175.688056940102
S110,I02,house,Ordered,2086.6669919056117
S111,I02,house,Ordered,1144.2691200010202
S112,I02,house,Ordered,1175.7718779382046
S113,I02,house,Ordered,727.8080359450355
S114,I02,house,Ordered,-168.76622691148737
S115,I02,house,Ordered,808.0790394617924
S116,I02,house,Ordered,-454.12829552640096
S117,I02,house,Ordered,-1030.4251148867884
S118,I02,house,Ordered,517.8095068674725
S119,I02,house,Ordered,1715.4436180164485
S120,I02,house,Ordered,1212.1333186769325
S121,I02,house,Ordered,871.2185764814806
S122,I02,house,Ordered,-169.7910777211539
S123,I02,house,Ordered,2063.2465085119184
S124,I02,house,Ordered,-213.5241825425362
S125,I02,house,Ordered,-60.66021200518867
S126,I02,house,Ordered,2056.576754863281
S127,I02,house,Ordered,2352.834530963591
S128,I02,house,Ordered,-75.97072799136481
S129,I02,house,Ordered,1245.0830226185012
S130,I02,house,Ordered,2644.992883188188
S131,I02,house,Ordered,477.6513891436234
S132,I02,house,Ordered,2357.6674825874884
S133,I02,house,Ordered,361.944094055847
S134,I02,house,Ordered,808.6273883825684
S135,I02,house,Ordered,-1224.8692476685796
S136,I02,house,Ordered,810.2843346744548
S137,I02,house,Ordered,947.5567276464895
S138,I02,house,Ordered,100.44624333974616
S139,I02,house,Ordered,136.48016386783434
S140,I02,house,Ordered,1710.8851169869831
S141,I02,house,Ordered,1909.3112855173738
S142,I02,house,Ordered,1969.1320562158849
S143,I02,house,Ordered,2380.144616576774
S144,I02,house,Ordered,211.6243520348728
S145,I02,house,Ordered,376.14988837549436
S146,I02,house,Ordered,769.8995472285746
S147,I02,house,Ordered,2728.039200684402
S001,I03,square,Ordered,2646.3268508693673
S002,I03,square,Ordered,1718.6540407348978
S003,I03,square,Ordered,2440.391887920593
S004,I03,square,Ordered,1656.222896753694
S005,I03,square,Ordered,3157.8558416082865
S006,I03,square,Ordered,241.86082881173684
S007,I03,square,Ordered,2962.1126383639676
S008,I03,square,Ordered,589.8709336126947
S009,I03,square,Ordered,1678.7776594042707
S010,I03,square,Ordered,2592.2074897742414
S011,I03,square,Ordered,4521.299647152496
S012,I03,square,Ordered,1727.2192347867112
S013,I03,square,Ordered,2726.201501067593
S014,I03,square,Ordered,3101.1001178943734
S015,I03,square,Ordered,3907.1603474672625
S016,I03,square,Ordered,2668.2460410596236
S017,I03,square,Ordered,3464.218336906577
S018,I03,square,Ordered,1709.9667805264205
S019,I03,square,Ordered,2766.80205311572
S020,I03,square,Ordered,2435.427512506061
S021,I03,square,Ordered,1752.650657167222
S022,I03,square,Ordered,4114.793361840168
S023,I03,square,Ordered,1417.1663284503932
S024,I03,square,Ordered,2169.1282745638273
S025,I03,square,Ordered,3409.534150217897
S026,I03,square,Ordered,2840.9531369094293
S027,I03,square,Ordered,774.3647353415279
S028,I03,square,Ordered,3566.724736034584
S029,I03,square,Ordered,1683.0607116212434
S030,I03,square,Ordered,2434.934430856909
S031,I03,square,Ordered,3381.719417222528
S032,I03,square,Ordered,1595.180708938201
S033,I03,square,Ordered,653.4562799718865
S034,I03,square,Ordered,3021.6421333451826
S035,I03,square,Ordered,3168.5183689853557
S036,I03,square,Ordered,3217.6595672502945
S037,I03,square,Ordered,1946.027072897468
S038,I03,square,Ordered,3142.7197472153166
S039,I03,square,Ordered,2141.241928948659
S040,I03,square,Ordered,2907.532624485949
S041,I03,square,Ordered,2275.7698299881613
S042,I03,square,Ordered,3317.6769406432004
S043,I03,square,Ordered,4419.040943655496
S044,I03,square,Ordered,1494.737186826087
S045,I03,square,Ordered,3888.8107551151948
S046,I03,square,Ordered,2231.7093244566795
S047,I03,square,Ordered,3986.3814836640445
S048,I03,square,Ordered,2824.0486975423346
S049,I03,square,Ordered,1712.8868405842627
S050,I03,square,Ordered,3377.146778173792
S051,I03,square,Ordered,3701.448102354796
S052,I03,square,Ordered,2132.2320078680286
S053,I03,square,Ordered,2527.702750640311
S054,I03,square,Ordered,1057.9991051167553
S055,I03,square,Ordered,2993.5521991326673
S056,I03,square,Ordered,2754.8036419640316
S057,I03,square,Ordered,2720.5694112658302
S058,I03,square,Ordered,2678.9527407891974
S059,I03,square,Ordered,3571.9748488206105
S060,I03,square,Ordered,2683.6788215308293
S061,I03,square,Ordered,1790.182111903801
S062,I03,square,Ordered,1063.4890745898274
S063,I03,square,Ordered,3051.2457582626625
S064,I03,square,Ordered,3819.8995406886197
S065,I03,square,Ordered,3060.3357029689905
S066,I03,square,Ordered,3486.4709394727024
S067,I03,square,Ordered,3494.8544962048827
S068,I03,square,Ordered,4212.188397524114
S069,I03,square,Ordered,3250.1019912347365
S070,I03,square,Ordered,4177.555670053283
S071,I03,square,Ordered,2366.7583851956542
S072,I03,square,Ordered,2818.4445740922956
S073,I03,square,Ordered,3032.4304784806036
S074,I03,square,Ordered,2531.039080104325
S075,I03,square,Ordered,599.8840079793329
S076,I03,square,Ordered,2637.824519418751
S077,I03,square,Ordered,2226.108880054998
S078,I03,square,Ordered,1743.3672227283298
S079,I03,square,Ordered,2339.770794070554
S080,I03,square,Ordered,2290.6803753297972
S081,I03,square,Ordered,1963.2294759784254
S082,I03,square,Ordered,2751.8746991635444
S083,I03,square,Ordered,1617.2609259859807
S084,I03,square,Ordered,1718.8547182873792
S085,I03,square,Ordered,3081.0900182079513
S086,I03,square,Ordered,1861.2499324244855
S087,I03,square,Ordered,592.0333635693405
S088,I03,square,Ordered,1282.3957377529714
S089,I03,square,Ordered,2823.2931125920345
S090,I03,square,Ordered,2990.9515872258007
S091,I03,square,Ordered,1733.529822424643
S092,I03,square,Ordered,2522.5785067074903
S093,I03,square,Ordered,2278.7897073317217
S094,I03,square,Ordered,2582.1412256665653
S095,I03,square,Ordered,1882.706680612437
S096,I03,square,Ordered,1923.575803009406
S097,I03,square,Ordered,2480.773306572918
S098,I03,square,Ordered,1034.8516552935484
S099,I03,square,Ordered,3670.630996922667
S100,I03,square,Ordered,1841.4119841001711
S101,I03,square,Ordered,1745.5983919515293
S102,I03,square,Ordered,3243.620419917219
S103,I03,square,Ordered,2566.117999755471
S104,I03,square,Ordered,928.7257863931752
S105,I03,square,Ordered,2826.959830712337
S106,I03,square,Ordered,2971.3207239827952
S107,I03,square,Ordered,3658.8121785697126
S108,I03,square,Ordered,2161.518064153686
S109,I03,square,Ordered,4120.680200780201
S110,I03,square,Ordered,2330.83230773994
S111,I03,square,Ordered,2373.632465676399
S112,I03,square,Ordered,3508.423382697455
S113,I03,square,Ordered,2297.708737203756
S114,I03,square,Ordered,393.70764665151
S115,I03,square,Ordered,3177.1124386948013
S116,I03,square,Ordered,1476.052267385857
S117,I03,square,Ordered,1998.5120898825655
S118,I03,square,Ordered,2560.219741042932
S119,I03,square,Ordered,3186.5885442258214
S120,I03,square,Ordered,1694.4784308056069
S121,I03,square,Ordered,1397.4953991020566
S122,I03,square,Ordered,1635.8551145699653
S123,I03,square,Ordered,2546.7244634128847
S124,I03,square,Ordered,1897.2523894364485
S125,I03,square,Ordered,1380.2193193659095
S126,I03,square,Ordered,2953.7566009133743
S127,I03,square,Ordered,2819.376957854286
S128,I03,square,Ordered,4297.713391655398
S129,I03,square,Ordered,3842.7088595600235
S130,I03,square,Ordered,2457.195458499571
S131,I03,square,Ordered,3781.3126469870763
S132,I03,square,Ordered,3711.4995141810214
S133,I03,square,Ordered,1474.0908249141457
S134,I03,square,Ordered,2696.4442138177883
S135,I03,square,Ordered,1506.9691836425184
S136,I03,square,Ordered,2483.409373989274
S137,I03,square,Ordered,2559.496738143981
S138,I03,square,Ordered,2085.0804135504577
S139,I03,square,Ordered,3013.8891642852413
S140,I03,square,Ordered,2141.3413843076496
S141,I03,square,Ordered,2980.839701038079
S142,I03,square,Ordered,3173.9576629675867
S143,I03,square,Ordered,4215.721880534775
S144,I03,square,Ordered,3724.890441735679
S145,I03,square,Ordered,2241.9225600444006
S146,I03,square,Ordered,2738.014777154116
S147,I03,square,Ordered,2657.817699815312
S001,I04,natural,Ordered,2391.3348675885063
S002,I04,natural,Ordered,972.1581015893978
S003,I04,natural,Ordered,658.9175309075337
S004,I04,natural,Ordered,416.4962484262363
S005,I04,natural,Ordered,2725.460283402269
S006,I04,natural,Ordered,-109.26171340601536
S007,I04,natural,Ordered,2252.1393000461485
S008,I04,natural,Ordered,1414.9151555738167
S009,I04,natural,Ordered,2204.648475165215
S010,I04,natural,Ordered,2857.466600299731
S011,I04,natural,Ordered,3057.225220299768
S012,I04,natural,Ordered,1180.1538920094213
S013,I04,natural,Ordered,327.62344133530837
S014,I04,natural,Ordered,2006.635398593195
S015,I04,natural,Ordered,2419.747519210751
S016,I04,natural,Ordered,1357.839233930504
S017,I04,natural,Ordered,3038.2062647109346
S018,I04,natural,Ordered,1134.3436329204683
S019,I04,natural,Ordered,2128.7263866461676
S020,I04,natural,Ordered,2205.151356651105
S021,I04,natural,Ordered,482.59454224600927
S022,I04,natural,Ordered,1663.1271485051723
S023,I04,natural,Ordered,745.940750967646
S024,I04,natural,Ordered,2495.426015516352
S025,I04,natural,Ordered,2761.4252411637335
S026,I04,natural,Ordered,3040.951965631679
S027,I04,natural,Ordered,1452.050653588355
S028,I04,natural,Ordered,1618.060585628325
S029,I04,natural,Ordered,391.2162677167131
S030,I04,natural,Ordered,2481.101021812198
S031,I04,natural,Ordered,1515.4148040848897
S032,I04,natural,Ordered,345.4474743851547
S033,I04,natural,Ordered,786.1006930323779
S034,I04,natural,Ordered,1550.3789432590543
S035,I04,natural,Ordered,2293.2086857508293
S036,I04,natural,Ordered,1414.6271212620372
S037,I04,natural,Ordered,2919.6539125647364
S038,I04,natural,Ordered,1634.8126105172282
S039,I04,natural,Ordered,1617.8205122927316
S040,I04,natural,Ordered,2635.286742668896
S041,I04,natural,Ordered,2699.247010777255
S042,I04,natural,Ordered,1875.9410218598578
S043,I04,natural,Ordered,3324.153841499972
S044,I04,natural,Ordered,1518.084546505691
S045,I04,natural,Ordered,2115.8879823979405
S046,I04,natural,Ordered,2461.985063889966
S047,I04,natural,Ordered,3069.0594224639935
S048,I04,natural,Ordered,2461.9973341337045
S049,I04,natural,Ordered,424.1448802552661
S050,I04,natural,Ordered,3600.6867641702456
S051,I04,natural,Ordered,3300.1635860778265
S052,I04,natural,Ordered,1766.6811059127226
S053,I04,natural,Ordered,1238.1894943014786
S054,I04,natural,Ordered,543.4378443469714
S055,I04,natural,Ordered,2623.6248483466575
S056,I04,natural,Ordered,1019.2736787528668
S057,I04,natural,Ordered,2161.4386896124383
S058,I04,natural,Ordered,1620.5647346550872
S059,I04,natural,Ordered,2777.8690753985466
S060,I04,natural,Ordered,2543.72369627485
S061,I04,natural,Ordered,228.31793508510486
S062,I04,natural,Ordered,2049.2064685056175
S063,I04,natural,Ordered,2180.151490157938
S064,I04,natural,Ordered,3837.691082919462
S065,I04,natural,Ordered,2421.17955760007
S066,I04,natural,Ordered,2031.7152089757533
S067,I04,natural,Ordered,2440.5168059106336
S068,I04,natural,Ordered,2185.9692672718834
S069,I04,natural,Ordered,1329.2973933927867
S070,I04,natural,Ordered,2484.394235773857
S071,I04,natural,Ordered,1206.2648950182888
S072,I04,natural,Ordered,1695.1329833112798
S073,I04,natural,Ordered,1556.862835333814
S074,I04,natural,Ordered,2233.1939502575515
S075,I04,natural,Ordered,1391.749694976528
S076,I04,natural,Ordered,961.672515277553
S077,I04,natural,Ordered,2259.0074358087068
S078,I04,natural,Ordered,2117.4264580822655
S079,I04,natural,Ordered,1185.8165464178192
S080,I04,natural,Ordered,1990.3456907217605
S081,I04,natural,Ordered,2493.35646432508
S082,I04,natural,Ordered,2762.784549924988
S083,I04,natural,Ordered,1946.821369292947
S084,I04,natural,Ordered,1472.112004894662
S085,I04,natural,Ordered,2443.9668118549907
S086,I04,natural,Ordered,1515.828696445177
S087,I04,natural,Ordered,1078.9345845090256
S088,I04,natural,Ordered,1409.8980983118545
S089,I04,natural,Ordered,2822.4792647438207
S090,I04,natural,Ordered,2758.2351323565763
S091,I04,natural,Ordered,841.9728771129794
S092,I04,natural,Ordered,1323.858752634897
S093,I04,natural,Ordered,2091.5569428720455
S094,I04,natural,Ordered,2007.6186228467695
S095,I04,natural,Ordered,1700.9811813993497
S096,I04,natural,Ordered,1499.551814078798
S097,I04,natural,Ordered,3444.871518835823
S098,I04,natural,Ordered,1270.7870009133414
S099,I04,natural,Ordered,2833.5588625220284
S100,I04,natural,Ordered,2250.7777832131333
S101,I04,natural,Ordered,-126.70836968263893
S102,I04,natural,Ordered,1891.4865292245286
S103,I04,natural,Ordered,1998.1470074405051
S104,I04,natural,Ordered,838.440138409901
S105,I04,natural,Ordered,1606.8292152630306
S106,I04,natural,Ordered,1768.0296791219403
S107,I04,natural,Ordered,2316.1853585687586
S108,I04,natural,Ordered,2839.756905540108
S109,I04,natural,Ordered,3564.236350837678
S110,I04,natural,Ordered,2418.074061145632
S111,I04,natural,Ordered,1813.0124736433136
S112,I04,natural,Ordered,2203.5989270486652
S113,I04,natural,Ordered,2133.308681090121
S114,I04,natural,Ordered,1205.6345308174527
S115,I04,natural,Ordered,1753.0959878963859
S116,I04,natural,Ordered,1183.7026273595704
S117,I04,natural,Ordered,-251.513193158763
S118,I04,natural,Ordered,1538.5835515188578
S119,I04,natural,Ordered,2178.5269214807813
S120,I04,natural,Ordered,942.6187007959047
S121,I04,natural,Ordered,793.7616852930703
S122,I04,natural,Ordered,1080.4978748750232
S123,I04,natural,Ordered,2171.705068676261
S124,I04,natural,Ordered,1355.4838722187058
S125,I04,natural,Ordered,949.3658820620844
S126,I04,natural,Ordered,1484.1607368265663
S127,I04,natural,Ordered,2280.538026860543
S128,I04,natural,Ordered,691.013140857928
S129,I04,natural,Ordered,2133.031309786061
S130,I04,natural,Ordered,2800.8285665909566
S131,I04,natural,Ordered,2361.8367397227994
S132,I04,natural,Ordered,2385.9495209523016
S133,I04,natural,Ordered,521.600295056627
S134,I04,natural,Ordered,1146.4731279606033
S135,I04,natural,Ordered,175.65325793726151
S136,I04,natural,Ordered,1981.2808967855817
S137,I04,natural,Ordered,2096.520638902127
S138,I04,natural,Ordered,2007.5749980286428
S139,I04,natural,Ordered,2468.1388411296493
S140,I04,natural,Ordered,3351.5974026458784
S141,I04,natural,Ordered,2014.380940534686
S142,I04,natural,Ordered,3018.450195960949
S143,I04,natural,Ordered,2935.6415194313013
S144,I04,natural,Ordered,3277.4529201542455
S145,I04,natural,Ordered,954.7898163572386
S146,I04,natural,Ordered,2636.5648719767023
S147,I04,natural,Ordered,4465.293171887945
S001,I05,house,Ordered,2763.942747635703
S002,I05,house,Ordered,1780.1931526124702
S003,I05,house,Ordered,1093.5773482483503
S004,I05,house,Ordered,381.69577453576176
S005,I05,house,Ordered,1464.1389435408046
S006,I05,house,Ordered,160.2176863465752
S007,I05,house,Ordered,2393.494769157032
S008,I05,house,Ordered,516.6907564625724
S009,I05,house,Ordered,1886.026369813393
S010,I05,house,Ordered,1731.9211125421684
S011,I05,house,Ordered,2199.794329738811
S012,I05,house,Ordered,1342.0991735410532
S013,I05,house,Ordered,1312.8102732784441
S014,I05,house,Ordered,1680.4657315828974
S015,I05,house,Ordered,1614.3728809006845
S016,I05,house,Ordered,2108.372525394988
S017,I05,house,Ordered,1569.5795037884604
S018,I05,house,Ordered,1756.209225912949
S019,I05,house,Ordered,1765.4216700281547
S020,I05,house,Ordered,2476.2176227111104
S021,I05,house,Ordered,1357.29402930188
S022,I05,house,Ordered,2270.750421469899
S023,I05,house,Ordered,455.132037016082
S024,I05,house,Ordered,2166.84016769383
S025,I05,house,Ordered,3441.1125010760256
S026,I05,house,Ordered,2060.9781230465182
S027,I05,house,Ordered,893.241133087695
S028,I05,house,Ordered,2427.6971030056643
S029,I05,house,Ordered,1015.3462922155747
S030,I05,house,Ordered,2132.2760875893055
S031,I05,house,Ordered,3141.6732300772965
S032,I05,house,Ordered,575.9482278046653
S033,I05,house,Ordered,366.2811866275922
S034,I05,house,Ordered,1947.7377304895165
S035,I05,house,Ordered,2125.5316628232044
S036,I05,house,Ordered,2126.622297150574
S037,I05,house,Ordered,2411.421114129993
S038,I05,house,Ordered,2285.2491738576937
S039,I05,house,Ordered,902.5552499789975
S040,I05,house,Ordered,1997.0293185506273
S041,I05,house,Ordered,1525.9928766020778
S042,I05,house,Ordered,2161.3421469770246
S043,I05,house,Ordered,2649.7667113634457
S044,I05,house,Ordered,1050.73789625754
S045,I05,house,Ordered,2584.4987785263506
S046,I05,house,Ordered,1625.8835786177701
S047,I05,house,Ordered,4165.876375404156
